pixel_x,time_seconds,magnitude,magnitude_smooth
56,-191.80283395955723,-4.304470678384139,-4.26986901654654
57,-191.09007667094085,-4.23526735470894,-4.295820262924739
58,-190.37731938232443,-4.23526735470894,-4.295820262924739
59,-189.664562093708,-4.356373171140539,-4.295820262924739
60,-188.95180480509163,-4.295820262924739,-4.265543808816839
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,-183.96250378477677,-3.768144919901344,-3.763819712171644
68,-183.24974649616036,-3.7594945044419443,-3.763819712171644
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,-160.44151326043533,-4.019006968223941,-3.949803644548742
101,-159.72875597181888,-4.019006968223941,-3.880600320873543
102,-159.0159986832025,-3.880600320873543,-3.880600320873543
103,-158.30324139458608,-3.7421936735231442,-3.880600320873543
104,-157.59048410596967,-3.7335432580637447,-3.8113969971983437
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,-139.05879460194308,-3.7594945044419443,-3.768144919901344
131,-138.3460373133267,-3.768144919901344,-3.768144919901344
132,-137.63328002471025,-3.768144919901344,-3.768144919901344
133,-136.92052273609386,-3.768144919901344,-3.768144919901344
134,-136.20776544747747,-3.768144919901344,-3.768144919901344
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,-92.01681355326016,-3.7335432580637447,-3.7335432580637447
197,-91.30405626464378,-3.7421936735231442,-3.7335432580637447
198,-90.59129897602736,-3.7335432580637447,-3.7335432580637447
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,-29.294172155016298,-3.7508440889825443,-3.863299489954743
285,-28.581414866399882,-3.863299489954743,-3.863299489954743
286,-27.868657577783495,-3.863299489954743,-3.863299489954743
287,-27.15590028916708,-3.880600320873543,-3.863299489954743
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,,,
319,,,
320,,,
321,-2.92215247620922,-3.7594945044419443,-3.7594945044419443
322,-2.209395187592804,-3.768144919901344,-3.7594945044419443
323,-1.4966378989764166,-3.7594945044419443,-3.7594945044419443
324,,,
325,,,
326,,,
327,,,
328,,,
329,,,
330,,,
331,,,
332,,,
333,,,
334,,,
335,,,
336,,,
337,,,
338,,,
339,,,
340,,,
341,,,
342,,,
343,,,
344,,,
345,,,
346,,,
347,,,
348,,,
349,,,
350,,,
351,,,
352,,,
353,,,
354,,,
355,21.31159533674864,-4.027657383683342,-4.023332175953641
356,22.024352625365054,-4.027657383683342,-4.019006968223941
357,22.737109913981442,-4.019006968223941,-4.019006968223941
358,23.449867202597858,-3.7421936735231442,-4.019006968223941
359,24.162624491214274,-3.7335432580637447,-3.8806003208735427
360,,,
361,,,
362,,,
363,,,
364,,,
365,,,
366,,,
367,,,
368,,,
369,,,
370,,,
371,,,
372,,,
373,,,
374,,,
375,,,
376,,,
377,,,
378,,,
379,,,
380,,,
381,,,
382,,,
383,,,
384,,,
385,42.69431399524086,-3.7335432580637447,-3.7724701276310437
386,43.40707128385725,-3.768144919901344,-3.768144919901344
387,44.11982857247369,-3.776795335360744,-3.768144919901344
388,44.83258586109008,-3.776795335360744,-3.768144919901344
389,45.545343149706525,-3.768144919901344,-3.768144919901344
390,46.25810043832291,-3.7594945044419443,-3.7724701276310437
391,,,
392,,,
393,,,
394,,,
395,,,
396,,,
397,,,
398,,,
399,,,
400,,,
401,,,
402,,,
403,,,
404,,,
405,,,
406,,,
407,,,
408,,,
409,,,
410,,,
411,,,
412,,,
413,,,
414,,,
415,,,
416,,,
417,,,
418,,,
419,,,
420,,,
421,,,
422,,,
423,,,
424,,,
425,,,
426,,,
427,,,
428,,,
429,,,
430,,,
431,,,
432,,,
433,,,
434,,,
435,,,
436,,,
437,,,
438,,,
439,,,
440,,,
441,,,
442,,,
443,,,
444,,,
445,,,
446,,,
447,,,
448,,,
449,,,
450,,,
451,89.73629504392375,-3.7335432580637447,-3.7421936735231442
452,90.44905233254019,-3.7421936735231442,-3.7421936735231442
453,91.16180962115658,-3.7421936735231442,-3.7421936735231442
454,,,
455,,,
456,,,
457,,,
458,,,
459,,,
460,,,
461,,,
462,,,
463,,,
464,,,
465,,,
466,,,
467,,,
468,,,
469,,,
470,,,
471,,,
472,,,
473,,,
474,,,
475,,,
476,,,
477,,,
478,,,
479,,,
480,,,
481,,,
482,,,
483,,,
484,,,
485,,,
486,,,
487,,,
488,,,
489,,,
490,,,
491,,,
492,,,
493,,,
494,,,
495,,,
496,,,
497,,,
498,,,
499,,,
500,,,
501,,,
502,,,
503,,,
504,,,
505,,,
506,,,
507,,,
508,,,
509,,,
510,,,
511,,,
512,,,
513,,,
514,,,
515,,,
516,,,
517,,,
518,,,
519,,,
520,,,
521,,,
522,,,
523,,,
524,,,
525,,,
526,,,
527,,,
528,,,
529,,,
530,,,
531,,,
532,,,
533,,,
534,,,
535,,,
536,,,
537,,,
538,,,
539,,,
540,153.17169373078406,-3.871949905414143,-3.871949905414143
541,153.88445101940044,-3.863299489954743,-3.871949905414143
542,154.5972083080169,-3.871949905414143,-3.871949905414143
543,155.30996559663328,-3.871949905414143,-3.871949905414143
544,,,
545,,,
546,,,
547,,,
548,,,
549,,,
550,,,
551,,,
