timestamp,magnitude,error
2024-06-01T00:00:01.439160114+00:00,12.3949,0.05
2024-06-01T00:00:04.171103257+00:00,12.444,0.05
2024-06-01T00:00:06.042859497+00:00,12.4593,0.05
2024-06-01T00:00:06.704161920+00:00,12.484,0.05
2024-06-01T00:00:08.963038389+00:00,12.4032,0.05
2024-06-01T00:00:09.504474478+00:00,12.4379,0.05
2024-06-01T00:00:14.916025386+00:00,12.5144,0.05
2024-06-01T00:00:16.935485464+00:00,12.5034,0.05
2024-06-01T00:00:19.075379818+00:00,12.5265,0.05
2024-06-01T00:00:22.918981364+00:00,12.5554,0.05
2024-06-01T00:00:24.197513285+00:00,12.5237,0.05
2024-06-01T00:00:24.957074936+00:00,12.5622,0.05
2024-06-01T00:00:25.749678887+00:00,12.5771,0.05
2024-06-01T00:00:27.924918358+00:00,12.5585,0.05
2024-06-01T00:00:28.591382316+00:00,12.5845,0.05
2024-06-01T00:00:33.137223534+00:00,12.4608,0.05
2024-06-01T00:00:33.317737116+00:00,12.5238,0.05
2024-06-01T00:00:33.632274730+00:00,12.582,0.05
2024-06-01T00:00:35.485000331+00:00,12.5052,0.05
2024-06-01T00:00:37.063214522+00:00,12.493,0.05
2024-06-01T00:00:38.979971869+00:00,12.5183,0.05
2024-06-01T00:00:39.740804853+00:00,12.5184,0.05
2024-06-01T00:00:44.233987688+00:00,12.4683,0.05
2024-06-01T00:00:44.372430684+00:00,12.5624,0.05
2024-06-01T00:00:44.385206867+00:00,12.5001,0.05
2024-06-01T00:00:44.807928114+00:00,12.4494,0.05
2024-06-01T00:00:51.122427579+00:00,12.3765,0.05
2024-06-01T00:00:52.782165596+00:00,12.4358,0.05
2024-06-01T00:01:00.709965567+00:00,12.3129,0.05
2024-06-01T00:01:02.738293078+00:00,12.4193,0.05
2024-06-01T00:01:04.049929281+00:00,12.3399,0.05
2024-06-01T00:01:07.479015919+00:00,12.3201,0.05
2024-06-01T00:01:10.693129671+00:00,12.2876,0.05
2024-06-01T00:01:16.303980465+00:00,12.2975,0.05
2024-06-01T00:01:17.130927800+00:00,12.1543,0.05
2024-06-01T00:01:20.709099820+00:00,12.195,0.05
2024-06-01T00:01:22.285500563+00:00,12.2834,0.05
2024-06-01T00:01:28.552314487+00:00,12.3102,0.05
2024-06-01T00:01:33.026757776+00:00,12.2181,0.05
2024-06-01T00:01:35.056773475+00:00,12.2055,0.05
2024-06-01T00:01:37.363362823+00:00,12.299,0.05
2024-06-01T00:01:41.341660563+00:00,12.3402,0.05
2024-06-01T00:01:42.320203391+00:00,12.3343,0.05
2024-06-01T00:01:42.538327365+00:00,12.3278,0.05
2024-06-01T00:01:43.446862129+00:00,12.2635,0.05
2024-06-01T00:01:47.961235879+00:00,12.3611,0.05
2024-06-01T00:02:02.986970005+00:00,12.4917,0.05
2024-06-01T00:02:07.620575420+00:00,12.5064,0.05
2024-06-01T00:02:08.085175443+00:00,12.4538,0.05
2024-06-01T00:02:09.533910451+00:00,12.5606,0.05
2024-06-01T00:02:12.410230449+00:00,12.5821,0.05
2024-06-01T00:02:13.709581441+00:00,12.519,0.05
2024-06-01T00:02:15.566317840+00:00,12.5467,0.05
2024-06-01T00:02:17.758748488+00:00,12.5361,0.05
2024-06-01T00:02:18.486447176+00:00,12.5365,0.05
2024-06-01T00:02:20.590213019+00:00,12.5744,0.05
2024-06-01T00:02:26.312880753+00:00,12.5607,0.05
2024-06-01T00:02:29.944444505+00:00,12.5659,0.05
2024-06-01T00:02:34.142911877+00:00,12.5388,0.05
2024-06-01T00:02:42.264429886+00:00,12.425,0.05
2024-06-01T00:02:48.062222802+00:00,12.4943,0.05
2024-06-01T00:02:48.104133785+00:00,12.4422,0.05
2024-06-01T00:02:48.644815556+00:00,12.3491,0.05
2024-06-01T00:02:56.190570459+00:00,12.3183,0.05
2024-06-01T00:03:00.652006252+00:00,12.2036,0.05
2024-06-01T00:03:00.785360932+00:00,12.2833,0.05
2024-06-01T00:03:01.678918376+00:00,12.344,0.05
2024-06-01T00:03:07.540175659+00:00,12.3627,0.05
2024-06-01T00:03:08.238025969+00:00,12.2446,0.05
2024-06-01T00:03:11.768062152+00:00,12.2563,0.05
2024-06-01T00:03:22.053019310+00:00,12.2834,0.05
2024-06-01T00:03:26.130992590+00:00,12.3585,0.05
2024-06-01T00:03:29.693782207+00:00,12.2628,0.05
2024-06-01T00:03:33.318522794+00:00,12.4356,0.05
2024-06-01T00:03:34.145662112+00:00,12.3233,0.05
2024-06-01T00:03:38.843541800+00:00,12.3293,0.05
2024-06-01T00:03:43.807126731+00:00,12.4075,0.05
2024-06-01T00:03:44.753438663+00:00,12.396,0.05
2024-06-01T00:03:44.953968123+00:00,12.4469,0.05
2024-06-01T00:03:45.076228866+00:00,12.3651,0.05
2024-06-01T00:03:45.266547150+00:00,12.4385,0.05
2024-06-01T00:03:45.738253248+00:00,12.4635,0.05
2024-06-01T00:03:49.832283470+00:00,12.5303,0.05
2024-06-01T00:03:50.094373564+00:00,12.5002,0.05
2024-06-01T00:03:55.580336194+00:00,12.5687,0.05
2024-06-01T00:04:00.424606715+00:00,12.513,0.05
2024-06-01T00:04:02.970053628+00:00,12.5622,0.05
2024-06-01T00:04:04.980366038+00:00,12.4625,0.05
2024-06-01T00:04:06.551498174+00:00,12.5497,0.05
2024-06-01T00:04:07.939100057+00:00,12.5711,0.05
2024-06-01T00:04:09.055225480+00:00,12.5751,0.05
2024-06-01T00:04:09.899018213+00:00,12.4929,0.05
2024-06-01T00:04:11.489994735+00:00,12.539,0.05
2024-06-01T00:04:15.214087205+00:00,12.5368,0.05
2024-06-01T00:04:17.900809335+00:00,12.5199,0.05
2024-06-01T00:04:23.143974214+00:00,12.5382,0.05
2024-06-01T00:04:23.861590007+00:00,12.4959,0.05
2024-06-01T00:04:25.162560250+00:00,12.4997,0.05
2024-06-01T00:04:28.600995279+00:00,12.4503,0.05
2024-06-01T00:04:30.483843236+00:00,12.4972,0.05
2024-06-01T00:04:30.905325317+00:00,12.4967,0.05
2024-06-01T00:04:31.418765079+00:00,12.4344,0.05
2024-06-01T00:04:35.100272277+00:00,12.5288,0.05
2024-06-01T00:04:35.241113933+00:00,12.3828,0.05
2024-06-01T00:04:35.941226400+00:00,12.4476,0.05
2024-06-01T00:04:39.881646794+00:00,12.3343,0.05
2024-06-01T00:04:40.593501997+00:00,12.3971,0.05
2024-06-01T00:04:42.188858309+00:00,12.3802,0.05
2024-06-01T00:04:47.302173531+00:00,12.2711,0.05
2024-06-01T00:04:47.891443649+00:00,12.302,0.05
2024-06-01T00:04:48.603319663+00:00,12.3769,0.05
2024-06-01T00:04:54.015343115+00:00,12.2368,0.05
2024-06-01T00:04:56.285010982+00:00,12.2752,0.05
2024-06-01T00:04:57.710766786+00:00,12.2672,0.05
2024-06-01T00:05:01.319280244+00:00,12.243,0.05
2024-06-01T00:05:01.813260388+00:00,12.1747,0.05
2024-06-01T00:05:10.558906457+00:00,12.284,0.05
2024-06-01T00:05:16.500689780+00:00,12.2769,0.05
2024-06-01T00:05:17.189043761+00:00,12.3245,0.05
2024-06-01T00:05:23.334931885+00:00,12.3318,0.05
2024-06-01T00:05:23.942147947+00:00,12.3299,0.05
2024-06-01T00:05:24.387184968+00:00,12.3457,0.05
2024-06-01T00:05:24.903518486+00:00,12.2955,0.05
2024-06-01T00:05:32.267150086+00:00,12.4609,0.05
2024-06-01T00:05:41.807166770+00:00,12.4644,0.05
2024-06-01T00:05:43.633880903+00:00,12.4784,0.05
2024-06-01T00:05:44.404239024+00:00,12.55,0.05
2024-06-01T00:05:53.086391520+00:00,12.5539,0.05
2024-06-01T00:05:53.286128215+00:00,12.5352,0.05
2024-06-01T00:05:56.725877553+00:00,12.5698,0.05
2024-06-01T00:05:56.727712428+00:00,12.5783,0.05
2024-06-01T00:06:00.722587622+00:00,12.5511,0.05
2024-06-01T00:06:04.259120697+00:00,12.5884,0.05
2024-06-01T00:06:04.842226590+00:00,12.4994,0.05
2024-06-01T00:06:05.271450336+00:00,12.5596,0.05
2024-06-01T00:06:10.407546161+00:00,12.5617,0.05
2024-06-01T00:06:10.639071954+00:00,12.5534,0.05
2024-06-01T00:06:17.822858528+00:00,12.3931,0.05
2024-06-01T00:06:20.558038805+00:00,12.4562,0.05
2024-06-01T00:06:26.404895240+00:00,12.3625,0.05
2024-06-01T00:06:33.571638583+00:00,12.3996,0.05
2024-06-01T00:06:34.307554318+00:00,12.3264,0.05
2024-06-01T00:06:39.716713951+00:00,12.3475,0.05
2024-06-01T00:06:39.757006387+00:00,12.2516,0.05
2024-06-01T00:06:39.966647258+00:00,12.3145,0.05
2024-06-01T00:06:41.679577922+00:00,12.2879,0.05
2024-06-01T00:06:47.088674333+00:00,12.37,0.05
2024-06-01T00:06:47.929122280+00:00,12.3033,0.05
2024-06-01T00:06:50.484077599+00:00,12.2928,0.05
2024-06-01T00:06:53.471557265+00:00,12.3241,0.05
2024-06-01T00:06:56.858438047+00:00,12.2538,0.05
2024-06-01T00:06:57.831474920+00:00,12.2394,0.05
2024-06-01T00:06:58.375294106+00:00,12.2356,0.05
2024-06-01T00:07:00.252649607+00:00,12.2608,0.05
2024-06-01T00:07:08.385850158+00:00,12.1714,0.05
2024-06-01T00:07:08.630832841+00:00,12.2837,0.05
2024-06-01T00:07:11.401432822+00:00,12.3108,0.05
2024-06-01T00:07:14.302834189+00:00,12.3169,0.05
2024-06-01T00:07:28.420025200+00:00,12.3835,0.05
2024-06-01T00:07:31.595614904+00:00,12.4649,0.05
2024-06-01T00:07:35.145990436+00:00,12.436,0.05
2024-06-01T00:07:41.777414195+00:00,12.6064,0.05
2024-06-01T00:07:50.403311008+00:00,12.5456,0.05
2024-06-01T00:07:58.878697234+00:00,12.4578,0.05
2024-06-01T00:08:02.508437117+00:00,12.5151,0.05
2024-06-01T00:08:04.970558279+00:00,12.5446,0.05
2024-06-01T00:08:07.443978088+00:00,12.4991,0.05
2024-06-01T00:08:13.689605279+00:00,12.4059,0.05
2024-06-01T00:08:20.067140635+00:00,12.3592,0.05
2024-06-01T00:08:22.820567223+00:00,12.3507,0.05
2024-06-01T00:08:23.128581204+00:00,12.3419,0.05
2024-06-01T00:08:23.340242834+00:00,12.3073,0.05
2024-06-01T00:08:25.241836877+00:00,12.3389,0.05
2024-06-01T00:08:26.421829030+00:00,12.2786,0.05
2024-06-01T00:08:33.677803014+00:00,12.3188,0.05
2024-06-01T00:08:35.750766454+00:00,12.3124,0.05
2024-06-01T00:08:36.090024692+00:00,12.2277,0.05
2024-06-01T00:08:36.164273303+00:00,12.2388,0.05
2024-06-01T00:08:49.270504565+00:00,12.2272,0.05
2024-06-01T00:08:50.356621946+00:00,12.2447,0.05
2024-06-01T00:08:52.192853399+00:00,12.2608,0.05
2024-06-01T00:08:52.775658639+00:00,12.2708,0.05
2024-06-01T00:08:55.426822068+00:00,12.2799,0.05
2024-06-01T00:09:00.105527423+00:00,12.3494,0.05
